文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18,文本19,文本20,文本21,文本22,字段1,字段2,文本23,文本24,文本25,文本26,文本27,文本28,文本29,文本30,文本31,文本32,文本33,文本34,文本35,文本36,文本37,文本38,文本39,文本40,文本41,文本42,文本43,文本44,文本45,文本46,文本47,字段3,标题
"Abstract

Aquaculture, the production of farm-raised fish, is a major industry that employs and feeds millions of individuals across the globe, but which may also be a nexus of emerging public health threats. This study examined potential health risks associated with integrated aquaculture operations by with One Health approach using a suite of tools to study water contamination sources, pathogens, antibiotic resistant bacteria, and bacterial community in the water from fishponds. Water samples from 27 fishponds across 9 villages were collected in Jiangmen City, China. Microbial source tracking, pathogens (including Salmonella and Arcobacter), toxin-producing Microcystis, and antibiotic resistant bacteria (ARB) resistant to tetracycline, sulfonamide, and carbapenem were quantified with qPCR. Bacterial community was determined with next-generation sequencing. All ponds exceeded E. coli single-day maximum criteria of US, and 67% ponds exceeded World Health Organization (WHO) waste-fed aquaculture guidelines for protecting consumers and pond workers, representing a high degree of fecal contamination and potential pathogen risks in these ponds. The majority of the ponds were positive for human- (84%) and pig- (41%) associated fecal contamination. Salmonella and microcystin-producing Microcystis were detected in 37% and 15% of the ponds, respectively, while Arcobacter was not detected in any ponds. ARB were highly prevalent. Among the measured factors, canonical correspondence analysis and network analysis demonstrated that secchi depth, temperature and conductivity were the major environmental elements impacting the bacterial community structure, while Proteobacteria and Actinobacteria were the major biological factor. This study demonstrated the presence of intersecting health risk factors in aquaculture facilities and can lay the foundation for addressing these risks in aquaculture management in rural China, with potential applicability in other developing regions dependent on aquaculture.",,"Abstract

Marine aquaculture in Greece is a relatively new industry based on the culture of aquatic species such as the Mediterranean sea bass (Dicentrarchus labrax), gilthead sea bream (Sparus aurata), and Mediterranean mussel (Mytilus galloprovincialis). In the early 1980s, the results of research and development were applied to develop pilot semiacademic commercial farms. Such farms were gradually moved to the industrial scale of today, producing some 80,00–120,000 tons of finfish and up to 25,000–35,000 tons of mussels annually. The problems encountered during the adaptation of innovation to the production and management of this blue revolution is critically discussed from the early developmental phases up to the present.",,,,,,,,,,"Marine aquaculture in Greece is a relatively new industry based on the culture of aquatic species such as the Mediterranean sea bass (Dicentrarchus labrax), gilthead sea bream (Sparus aurata), and Mediterranean mussel (Mytilus galloprovincialis). In the early 1980s, the results of research and development were applied to develop pilot semiacademic commercial farms. Such farms were gradually moved to the industrial scale of today, producing some 80,00–120,000 tons of finfish and up to 25,000–35,000 tons of mussels annually. The problems encountered during the adaptation of innovation to the production and management of this blue revolution is critically discussed from the early developmental phases up to the present.",,,,,,,,,,,,,,,Evolution Through Innovation in Aquaculture: A Critical Review of the Greek Mariculture Industry,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Aquaculture, the production of farm-raised fish, is a major industry that employs and feeds millions of individuals across the globe, but which may also be a nexus of emerging public health threats. This study examined potential health risks associated with integrated aquaculture operations by with One Health approach using a suite of tools to study water contamination sources, pathogens, antibiotic resistant bacteria, and bacterial community in the water from fishponds. Water samples from 27 fishponds across 9 villages were collected in Jiangmen City, China. Microbial source tracking, pathogens (including Salmonella and Arcobacter), toxin-producing Microcystis, and antibiotic resistant bacteria (ARB) resistant to tetracycline, sulfonamide, and carbapenem were quantified with qPCR. Bacterial community was determined with next-generation sequencing. All ponds exceeded E. coli single-day maximum criteria of US, and 67% ponds exceeded World Health Organization (WHO) waste-fed aquaculture guidelines for protecting consumers and pond workers, representing a high degree of fecal contamination and potential pathogen risks in these ponds. The majority of the ponds were positive for human- (84%) and pig- (41%) associated fecal contamination. Salmonella and microcystin-producing Microcystis were detected in 37% and 15% of the ponds, respectively, while Arcobacter was not detected in any ponds. ARB were highly prevalent. Among the measured factors, canonical correspondence analysis and network analysis demonstrated that secchi depth, temperature and conductivity were the major environmental elements impacting the bacterial community structure, while Proteobacteria and Actinobacteria were the major biological factor. This study demonstrated the presence of intersecting health risk factors in aquaculture facilities and can lay the foundation for addressing these risks in aquaculture management in rural China, with potential applicability in other developing regions dependent on aquaculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
      Abstract
      
         
         A feeding trial was conducted to determine the maximum substitution limits of poultry by‐product meal (PBM; 66% crude protein) protein for fish meal (FM; 59% crude protein) protein in the diet of juvenile Black Sea Bass Centropristis striata (family Serranidae). Eight isonitrogenous (44% crude protein) and isolipidic (13% crude lipid) diets were formulated to replace FM protein with PBM protein at 0 (control), 40%, 50%, 60%, 70%, 80%, 90%, and 100% in Black Sea Bass diets. Diets were fed twice daily to triplicate groups of juveniles (initial mean weight = 1.2 g) to apparent satiation for 8 weeks in a recirculating aquaculture system. Final survival was excellent (95–100%) in all diet treatments, with no significant differences. No significant differences in body weight gain (BWG) were observed in fish fed the 40–90% PBM protein diets (1,136–1,357%) compared with the control diet (1,307%). However, BWG of fish fed the 100% PBM protein diet (1,045%) was significantly lower than in the control group. Regression analysis with BWG indicated that PBM protein can replace FM protein in Black Sea Bass diets at levels as high as 81.8%, with no reduction in fish growth performance. For fish fed diets with up to 90% PBM protein, feed conversion (1.08–1.17) and protein efficiency ratios (2.01–2.14) were not significantly different from fish fed a control 100% FM‐protein‐based diet (0.99 and 2.29, respectively). Apparent digestibility coefficients of dietary protein remained high (81.6–87.0%) under all levels of FM replacement with PBM protein. After the feeding trial, whole body and muscle protein content and the concentrations of whole body n‐3 polyunsaturated fatty acids showed no significant differences among the treatments at FM protein replacement levels up to 90%. Poultry by‐product meal is a promising alternative protein source for sustainable diet development in Black Sea Bass.
         
      
   ",,,,,,,,,,,,,,,,,,,,,,,,,Evaluation of Poultry By‐Product Meal as an Alternative to Fish Meal in the Diet of Juvenile Black Sea Bass Reared in a Recirculating Aquaculture System,,,,,,,,,,,,,Evaluation of Poultry By‐Product Meal as an Alternative to Fish Meal in the Diet of Juvenile Black Sea Bass Reared in a Recirculating Aquaculture System,,,,,,,,,,,,
"Abstract

With the rapid growth of aquaculture, some negative factors of extensive monoculture accumulated, causing integrated multi-trophic aquaculture (IMTA) to draw increasing attention worldwide for its ecological and economic advantages. However, the development of IMTA in open water systems may not go as smoothly as anticipated—at least in Weihai, China, some producers who have adopted it would prefer to return to monoculture. This paper explores the problem from the angle of the economic performance by providing an in-depth analysis of costs and revenues generated by kelp monoculture and kelp-mollusk polyculture (IMTA). We find that the monoculture generates higher profits during the same production cycle. Besides inherent defects in system design, the rapidly growing labor cost and depressing selling price of the mollusk conspire to aggravate the economic failure of IMTA. Due to positive environmental externalities, the social benefits associated with IMTA are higher than the private benefits. This implies that there is a role for the government to generalize IMTA to achieve more total benefits. But single policy such as subsidies may backfire, a combination of policies designed to promote IMTA could be effective.

Statement of relevance

To study practical problems in aquaculture.",,,,,,,,,,,,,,,,,,,,,,,,,"Economic challenges to the generalization of integrated multi-trophic aquaculture: An empirical comparative study on kelp monoculture and kelp-mollusk polyculture in Weihai, China",,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Efforts to expand marine aquaculture into offshore environments have increased in the United States, however many questions remain about whether offshore aquaculture is a feasible and appropriate activity. This paper explores these questions by investigating stakeholder perceptions of offshore mussel aquaculture in New England, USA. These views provide insight into the important challenges and opportunities facing expansion, and elucidate whether and how industry may develop and be incorporated into ocean planning and management. Results shows that regulatory and financial conditions are considered the primary challenges facing offshore expansion, whereas technical, environmental, and market conditions were generally deemed favorable or manageable. There is greater uncertainty about social and political conditions. While moving mussel aquaculture offshore lessens the conflicts associated with inshore activity, it also moves industry into new spaces with unfamiliar users. There are tensions inherent in addressing these challenges. Whereas broad regulatory change will encourage offshore development, targeted government involvement may be more productive in the near term. Similarly, while large seafood companies may appear viable candidates for offshore development, they are also limited by regulatory, social, and political resistance. Overall, an increased emphasis on government interventions at the local and regional scale are desirable for proponents of offshore expansion. The paper discusses the management implications of these findings, and suggests that a shift in focus toward targeted and non-regulatory government interventions; local, regional, and informal planning discussions; and community-based and cooperative mussel aquaculture initiatives may hold promise for responsible development in New England offshore waters and elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,Moving mussels offshore? Perceptions of offshore aquaculture policy and expansion in New England,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

The efficiency of oyster-shell waste for the removal of phosphorous (P) in saltwater was herein evaluated. For that, different factors were tested, being attained > 56% and > 98% P removal by natural oyster shell (NOS)-fraction < 0.125 mm and COS (calcined oyster shell)-fraction 0.5 mm, respectively. Adsorption was the main mechanism suggested for NOS, whilst a co-mechanism of precipitation occurred with COS. NOS adsorption was consistent with Langmuir model and followed both the Elovich and Intraparticle Difusion kinetic models. COS followed only Pseudo-Second Order and, mainly, the Elovich model. Overall, optimal conditions for P removal from saltwater were established for NOS and COS, which will unquestionably allow to comply with regulated P levels for the discharge of wastewater from saltwater RAS.",,,,,,,,,,,,,,,,,,,,,,,,,First study on oyster-shell-based phosphorous removal in saltwater — A proxy to effluent bioremediation of marine aquaculture,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
   Abstract
   
      
      Culture of shrimp, mainly Penaeus monodon, makes an important contribution to Bangladesh's aquaculture industry. Shrimp hatcheries are the foundation on which the shrimp industry is built. Hatchery performance and management therefore has extremely important implications for the long‐term viability of the entire shrimp sector, especially given its vulnerability to diseases such as white spot syndrome virus (WSSV). This article provides a review of the history of shrimp hatchery development in Bangladesh and an overview of the current status of the shrimp hatchery sector and the challenges it faces. This article also provides a unique historical analysis of shrimp broodstock performance and rates of WSSV infection using data collected from hatcheries between 2007 and 2013. This reveals sharp declines in broodstock quality and performance over time, and high rates of WSSV infection, with potential major implications for the future sustainability of the sector.
      
   
",,,,,,,,,,,,,,,,,,,,,,,,,"Review of the history, status and prospects of the black tiger shrimp (Penaeus monodon) hatchery sector in Bangladesh
   ",,,,,,,,,,,,,"Review of the history, status and prospects of the black tiger shrimp (Penaeus monodon) hatchery sector in Bangladesh
   ",,,,,,,,,,,,
,"
   Abstract
   
      
      Culture of shrimp, mainly Penaeus monodon, makes an important contribution to Bangladesh's aquaculture industry. Shrimp hatcheries are the foundation on which the shrimp industry is built. Hatchery performance and management therefore has extremely important implications for the long‐term viability of the entire shrimp sector, especially given its vulnerability to diseases such as white spot syndrome virus (WSSV). This article provides a review of the history of shrimp hatchery development in Bangladesh and an overview of the current status of the shrimp hatchery sector and the challenges it faces. This article also provides a unique historical analysis of shrimp broodstock performance and rates of WSSV infection using data collected from hatcheries between 2007 and 2013. This reveals sharp declines in broodstock quality and performance over time, and high rates of WSSV infection, with potential major implications for the future sustainability of the sector.
      
   
",,,,,,,,,,,,,,,,,,,,,,,"Coastal protection, nutrient cycling, erosion control, water purification, and carbon sequestration are ecosystem services provided by salt marshes. Additionally, salt ponds offer coastal breeding and a nursery habitat for fishes and they provide abundant invertebrates, such as amphipods, which are potentially useful as a resource in aquaculture. Fishmeal and fish oil are necessary food resources to support aquaculture of carnivorous species due to their omega-3 long-chain polyunsaturated fatty acids (n-3 LC-PUFA). Currently, aquaculture depends on limited fisheries and feed with elevated n-3 LC-PUFA levels, but the development of more sustainable food sources is necessary. Amphipods appear to be a potential high quality alternative feed resource for aquaculture. Hence, a nutritional study was carried out for several main amphipod species—Microdeutopus gryllotalpa, Monocorophium acherusicum, Gammarus insensibilis, Melita palmata and Cymadusa filosa—in terrestrial ponds in the South of Spain. These species showed high protein content (up to 40%), high n-3 PUFA and phospholipid levels, and high levels of phophatidylcholine (PC), phosphatidylethanolamine (PE) and triacylglycerols (TAG), the latter being significantly high for  M. acherusicum.  M. gryllotalpa and M. acherusicum showed the highest proportion of lipids (19.15% and 18.35%, respectively). Isoleucine, glycine and alanine were the dominant amino acids in all species. In addition, amphipods collected from ponds showed low levels of heavy metals. Furthermore, the biochemical profiles of the five species of amphipods have been compared with other studied alternative prey. Therefore, pond amphipods are good candidates to be used as feed, and are proposed as a new sustainable economic resource to be used in aquaculture. G. insensibilis may be the best for intensive culture as an alternative feed resource because it shows: (1) adequate n-3 PUFA and PL composition; (2) high levels of glycine, alanine, tyrosine, isoleucine and lysine; (3) high natural densities; (4) large body size (≥1 cm), and (5) high concentration of calcium. Moreover, a combined culture of amphipods and fishes in these marsh ponds seems a promising and environmentally sustainable way to develop Integrate Multi-Trophic Aquaculture (IMTA) in these ecosystems.",,,,,,,,,,,,,,,,,,,,,,,,,,,Crustacean amphipods from marsh ponds: a nutritious feed resource with potential for application in Integrated Multi-Trophic Aquaculture
"Abstract

The use of aquaculture is increasing to meet the growing global demand for seafood. However, the use of aquaculture for seafood production incurs potential human health risks, especially from enteric bacteria such as Salmonella spp. Salmonella spp. was the most frequently reported cause of outbreaks associated with crustaceans from 1998 to 2004. Among crustacean species, shrimp are the most economically important, internationally traded seafood commodity, and the most commonly aquaculture-raised seafood imported to the United States. To inform safe aquaculture practices, a quantitative microbial risk assessment (QMRA) was performed, incorporating stochastic variability in pathogen growth, industrial shrimp processing, and consumer shrimp preparation. Several scenarios including gamma irradiation and cooking time were considered in order to examine the relative importance of these practices in terms of their impact on risk. Median annual infection risks for all scenarios considered were below 10−4 and median disability adjusted life year (DALY) metrics were below 10−6 DALY per person per year, however, 95th percentile risks were above 10−4 annual probability of infection and 10−6 DALY per person per year for scenarios with improper cooking and lack of gamma irradiation. The greatest difference between microbiological risks for the scenarios tested was observed when comparing proper vs. improper cooking (5–6 orders of magnitude) and gamma irradiation (4–5 orders of magnitude) compared to (up to less than 1 order of magnitude) for peeling and “deveining” (removing the shrimp digestive tract) vs. peeling only. The findings from this research suggest that restriction of Salmonella spp. to low levels (median 5–30 per L aquaculture pond water) may be necessary for scenarios in which proper downstream food handling and processing cannot be guaranteed.",,,,,,,,,,,,,,,,,,,,,,,,,Salmonella risks due to consumption of aquaculture-produced shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

The use of aquaculture is increasing to meet the growing global demand for seafood. However, the use of aquaculture for seafood production incurs potential human health risks, especially from enteric bacteria such as Salmonella spp. Salmonella spp. was the most frequently reported cause of outbreaks associated with crustaceans from 1998 to 2004. Among crustacean species, shrimp are the most economically important, internationally traded seafood commodity, and the most commonly aquaculture-raised seafood imported to the United States. To inform safe aquaculture practices, a quantitative microbial risk assessment (QMRA) was performed, incorporating stochastic variability in pathogen growth, industrial shrimp processing, and consumer shrimp preparation. Several scenarios including gamma irradiation and cooking time were considered in order to examine the relative importance of these practices in terms of their impact on risk. Median annual infection risks for all scenarios considered were below 10−4 and median disability adjusted life year (DALY) metrics were below 10−6 DALY per person per year, however, 95th percentile risks were above 10−4 annual probability of infection and 10−6 DALY per person per year for scenarios with improper cooking and lack of gamma irradiation. The greatest difference between microbiological risks for the scenarios tested was observed when comparing proper vs. improper cooking (5–6 orders of magnitude) and gamma irradiation (4–5 orders of magnitude) compared to (up to less than 1 order of magnitude) for peeling and “deveining” (removing the shrimp digestive tract) vs. peeling only. The findings from this research suggest that restriction of Salmonella spp. to low levels (median 5–30 per L aquaculture pond water) may be necessary for scenarios in which proper downstream food handling and processing cannot be guaranteed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
   Abstract
   
      
      Agencies have a growing range of options for risk assessment of nonnative species varying from comprehensive assessments to rapid risk screens. Risk screens identify high‐risk and low‐risk species and those where more evaluation is warranted. Despite development and testing of risk‐screening methods, there is little information in the literature regarding their implementation in management decisions. We used a screening tool, the Fish Invasiveness Screening Kit (FISK), coupled with a detailed literature review to evaluate the risks of the genus Arapaima across Florida, where there is growing interest in its culture as a food fish. We found a medium risk of invasiveness overall, the greatest risk being to subtropical south Florida due to the low cold tolerance of Arapaima that it would experience further north. Ultimately the agency determined that a combination of literature review and the risk screen was sufficient to inform their decision making and that current conditional species regulations provided adequate risk mitigation to allow culture. The agency saved time and money by developing background information and a preliminary estimate of risk prior to engaging in comprehensive assessment. Flexibility allows agencies to tailor their risk assessment and management processes to different risk environments and to better inform decision making.
      Received October 29, 2014; accepted June 15, 2015
      
   
",,,,,,,,,,,,,,,,,,,,,,,,,"Risk Screening of Arapaima, a New Species Proposed for Aquaculture in Florida",,,,,,,,,,,,,"Risk Screening of Arapaima, a New Species Proposed for Aquaculture in Florida",,,,,,,,,,,,
,"
   Abstract
   
      
      Agencies have a growing range of options for risk assessment of nonnative species varying from comprehensive assessments to rapid risk screens. Risk screens identify high‐risk and low‐risk species and those where more evaluation is warranted. Despite development and testing of risk‐screening methods, there is little information in the literature regarding their implementation in management decisions. We used a screening tool, the Fish Invasiveness Screening Kit (FISK), coupled with a detailed literature review to evaluate the risks of the genus Arapaima across Florida, where there is growing interest in its culture as a food fish. We found a medium risk of invasiveness overall, the greatest risk being to subtropical south Florida due to the low cold tolerance of Arapaima that it would experience further north. Ultimately the agency determined that a combination of literature review and the risk screen was sufficient to inform their decision making and that current conditional species regulations provided adequate risk mitigation to allow culture. The agency saved time and money by developing background information and a preliminary estimate of risk prior to engaging in comprehensive assessment. Flexibility allows agencies to tailor their risk assessment and management processes to different risk environments and to better inform decision making.
      Received October 29, 2014; accepted June 15, 2015
      
   
","ABSTRACTABSTRACTSole is a high-value flatfish species that is highly favored in many European markets. Nowadays most sole comes from capture fisheries; however, wild supply has been decreasing because of decreasing catches due to stocks overexploitation. Due to its high price and declining landings, as well as a desire by farmers to diversify their operations, there has been an expansion in sole aquaculture production in recent years and there are ambitious plans for further growth. In this paper we assess the potential for sole aquaculture in Europe using raceways. This is done by analyzing the production costs of sole farms and the price evolution in European sole markets.",,,,,,,,,,ABSTRACT,,,,,,,,,,,,,,,The potential of aquaculture sole production in Europe: Production costs and markets,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

The use of aquaculture is increasing to meet the growing global demand for seafood. However, the use of aquaculture for seafood production incurs potential human health risks, especially from enteric bacteria such as Salmonella spp. Salmonella spp. was the most frequently reported cause of outbreaks associated with crustaceans from 1998 to 2004. Among crustacean species, shrimp are the most economically important, internationally traded seafood commodity, and the most commonly aquaculture-raised seafood imported to the United States. To inform safe aquaculture practices, a quantitative microbial risk assessment (QMRA) was performed, incorporating stochastic variability in pathogen growth, industrial shrimp processing, and consumer shrimp preparation. Several scenarios including gamma irradiation and cooking time were considered in order to examine the relative importance of these practices in terms of their impact on risk. Median annual infection risks for all scenarios considered were below 10−4 and median disability adjusted life year (DALY) metrics were below 10−6 DALY per person per year, however, 95th percentile risks were above 10−4 annual probability of infection and 10−6 DALY per person per year for scenarios with improper cooking and lack of gamma irradiation. The greatest difference between microbiological risks for the scenarios tested was observed when comparing proper vs. improper cooking (5–6 orders of magnitude) and gamma irradiation (4–5 orders of magnitude) compared to (up to less than 1 order of magnitude) for peeling and “deveining” (removing the shrimp digestive tract) vs. peeling only. The findings from this research suggest that restriction of Salmonella spp. to low levels (median 5–30 per L aquaculture pond water) may be necessary for scenarios in which proper downstream food handling and processing cannot be guaranteed.",,,,,,,,,,,"Exploitation of fisheries and aquaculture practices are exposing marine fish populations to increasing genetic risks. Therefore, the integration of genetic information into fisheries and aquaculture management is becoming crucial to ensure species’ long-term persistence. The raising commercial value of grey mullet (Mugil cephalus) and its roe represents a growing challenge to the sustainable management of this economically important fishery resource. Here, microsatellites were used to investigate patterns of genetic variation in a Mediterranean area that harbor flourishing fisheries and practice semi-intensive farming of grey mullet. Genetic diversity within populations is smaller than values reported in previous studies as a result of the lower polymorphism displayed by the new microsatellite loci. Lack of genetic structuring points to the existence of a unique genetic stock, which is consistent with the species’ high dispersal capabilities. Nonetheless, differences in local population effective size as well as the excess of related individuals do not completely fit the picture of a large panmictic population. Baseline genetic information here gathered will allow to set up the genetic monitoring of regional fish stocks, which is needed to assess the impact of both harvesting and aquaculture on the genetic integrity of Mugil cephalus wild populations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic patterns in Mugil cephalus and implications for fisheries and aquaculture management,,,,,,,,,,
"Abstract

Research was carried out to determine the effectiveness of 4 hatching eggs disinfection processes (i.e., disinfecting products and administration method) using a multi-pronged approach assessing the reduction of microbial eggshell contamination, the effects on worker exposure, hatching results and broiler performance, and, finally, suitability for use in commercial hatcheries. The 4 disinfection processes were: sodium dichlorocyanurate (DC) by thermonebulization, hydrogen peroxide 6% by nebulization (HP6), electrolyzed oxidizing water (EOW) by fogging, and hydrogen peroxide 30% vapor (HP30). In order to meet commercial hatchery conditions, the tested products were applied in an experimental hatchery by aerial disinfection in a dedicated room, not sprayed directly onto the eggs. Compared to the untreated control group, eggshell microbial load was significantly decreased by over 1 log10 cfu per egg in groups DC and HP30. These results were confirmed during a second experiment. In addition, these 2 products comply with legal requirements on worker exposure. Fertility and hatching results were significantly higher in group HP30 than in group DC, with no impact on chick quality and subsequent broiler performance. Under these study conditions, the disinfection process (i.e., administration of the product, contact with the eggs and aeration) lasted 65 min in group DC vs. 135 min in group HP30. When considering commercial hatchery conditions, this difference in application time confers a clear advantage on the DC process. Moreover, the investment required for HP30 is much higher than for DC. Overall, HP30 presented a clear advantage for hatching results whereas DC is a relatively more practical and less expensive disinfection process. To our knowledge, this is the first report on the use of hydrogen peroxide vapor as an egg disinfection process. Further research is needed to confirm the results of this study under commercial hatchery conditions.",,,,,,,,,,,,,,,,,,,,,,,,,"A multi-pronged approach to the search for an alternative to formaldehyde as an egg disinfectant without affecting worker health, hatching, or broiler production parameters",,,,,,,,,,,,,,,,,,,,,,,,,,
"Abstract

Research was carried out to determine the effectiveness of 4 hatching eggs disinfection processes (i.e., disinfecting products and administration method) using a multi-pronged approach assessing the reduction of microbial eggshell contamination, the effects on worker exposure, hatching results and broiler performance, and, finally, suitability for use in commercial hatcheries. The 4 disinfection processes were: sodium dichlorocyanurate (DC) by thermonebulization, hydrogen peroxide 6% by nebulization (HP6), electrolyzed oxidizing water (EOW) by fogging, and hydrogen peroxide 30% vapor (HP30). In order to meet commercial hatchery conditions, the tested products were applied in an experimental hatchery by aerial disinfection in a dedicated room, not sprayed directly onto the eggs. Compared to the untreated control group, eggshell microbial load was significantly decreased by over 1 log10 cfu per egg in groups DC and HP30. These results were confirmed during a second experiment. In addition, these 2 products comply with legal requirements on worker exposure. Fertility and hatching results were significantly higher in group HP30 than in group DC, with no impact on chick quality and subsequent broiler performance. Under these study conditions, the disinfection process (i.e., administration of the product, contact with the eggs and aeration) lasted 65 min in group DC vs. 135 min in group HP30. When considering commercial hatchery conditions, this difference in application time confers a clear advantage on the DC process. Moreover, the investment required for HP30 is much higher than for DC. Overall, HP30 presented a clear advantage for hatching results whereas DC is a relatively more practical and less expensive disinfection process. To our knowledge, this is the first report on the use of hydrogen peroxide vapor as an egg disinfection process. Further research is needed to confirm the results of this study under commercial hatchery conditions.",,,,,,,,,,,,,,,,,,,"
            Abstract
                            
                                

                    
                    
                                            Purpose
                                        
                        Studies on managers’ awareness level of total quality management (TQM) in the aquaculture industry in Ghana are scarce, if existing at all. The purpose of this paper is to evaluate the awareness level of managers in Ghana’s aquaculture industry about TQM practices and how it is applied in their operations.
                    
                

                            
                                

                    
                    
                                            Design/methodology/approach
                                        
                        In this study, simple random sampling technique was used to select 52 respondents from aquaculture companies in Ghana. The respondents were managers and supervisors who have better understanding of organizational operations and quality management issues. Managers and supervisors considered for the study include quality managers, operational/production managers, supervisors, and also top managers.
                    
                

                            
                                

                    
                    
                                            Findings
                                        
                        The findings from the study depict that respondents’ awareness level about TQM practices and concepts in the aquaculture industry are acceptable and they agree to the fact that TQM is a way of guaranteeing high-quality products and services. The institutions’ main areas of concentration are management leadership, continuous process management, and improvement. Again, the companies’ culture depicts more of a control measure than a prophylactic treatment.
                    
                

                            
                                

                    
                    
                                            Practical implications
                                        
                        The outcome of this paper will help in comprehending the TQM awareness in the aquaculture industry in Ghana. It will also highlight major areas that managers and supervisors in the industry need education on, in other to enhance their quality skills.
                    
                

                            
                                

                    
                    
                                            Originality/value
                                        
                        This research is among the first ever known attempts to assess the awareness of TQM concepts and practices in the aquaculture industry in Ghana. It will help improve the quality practices in the industry.
                    
                

                    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Total quality management practices in aquaculture companies: a case from Ghana,,,,
"Abstract

Research was carried out to determine the effectiveness of 4 hatching eggs disinfection processes (i.e., disinfecting products and administration method) using a multi-pronged approach assessing the reduction of microbial eggshell contamination, the effects on worker exposure, hatching results and broiler performance, and, finally, suitability for use in commercial hatcheries. The 4 disinfection processes were: sodium dichlorocyanurate (DC) by thermonebulization, hydrogen peroxide 6% by nebulization (HP6), electrolyzed oxidizing water (EOW) by fogging, and hydrogen peroxide 30% vapor (HP30). In order to meet commercial hatchery conditions, the tested products were applied in an experimental hatchery by aerial disinfection in a dedicated room, not sprayed directly onto the eggs. Compared to the untreated control group, eggshell microbial load was significantly decreased by over 1 log10 cfu per egg in groups DC and HP30. These results were confirmed during a second experiment. In addition, these 2 products comply with legal requirements on worker exposure. Fertility and hatching results were significantly higher in group HP30 than in group DC, with no impact on chick quality and subsequent broiler performance. Under these study conditions, the disinfection process (i.e., administration of the product, contact with the eggs and aeration) lasted 65 min in group DC vs. 135 min in group HP30. When considering commercial hatchery conditions, this difference in application time confers a clear advantage on the DC process. Moreover, the investment required for HP30 is much higher than for DC. Overall, HP30 presented a clear advantage for hatching results whereas DC is a relatively more practical and less expensive disinfection process. To our knowledge, this is the first report on the use of hydrogen peroxide vapor as an egg disinfection process. Further research is needed to confirm the results of this study under commercial hatchery conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLOCATED ZONES FOR AQUACULTURE: A guide for the establishment of coastal zones dedicated to aquaculture in the Mediterranean and the Black Sea,,,,,,,,,,,,,,,,,,,
"Abstract

Research was carried out to determine the effectiveness of 4 hatching eggs disinfection processes (i.e., disinfecting products and administration method) using a multi-pronged approach assessing the reduction of microbial eggshell contamination, the effects on worker exposure, hatching results and broiler performance, and, finally, suitability for use in commercial hatcheries. The 4 disinfection processes were: sodium dichlorocyanurate (DC) by thermonebulization, hydrogen peroxide 6% by nebulization (HP6), electrolyzed oxidizing water (EOW) by fogging, and hydrogen peroxide 30% vapor (HP30). In order to meet commercial hatchery conditions, the tested products were applied in an experimental hatchery by aerial disinfection in a dedicated room, not sprayed directly onto the eggs. Compared to the untreated control group, eggshell microbial load was significantly decreased by over 1 log10 cfu per egg in groups DC and HP30. These results were confirmed during a second experiment. In addition, these 2 products comply with legal requirements on worker exposure. Fertility and hatching results were significantly higher in group HP30 than in group DC, with no impact on chick quality and subsequent broiler performance. Under these study conditions, the disinfection process (i.e., administration of the product, contact with the eggs and aeration) lasted 65 min in group DC vs. 135 min in group HP30. When considering commercial hatchery conditions, this difference in application time confers a clear advantage on the DC process. Moreover, the investment required for HP30 is much higher than for DC. Overall, HP30 presented a clear advantage for hatching results whereas DC is a relatively more practical and less expensive disinfection process. To our knowledge, this is the first report on the use of hydrogen peroxide vapor as an egg disinfection process. Further research is needed to confirm the results of this study under commercial hatchery conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
