字段4_链接,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,字段20,字段21,字段22,字段23,字段24
https://pubmed.ncbi.nlm.nih.gov/31008080/,Free PMC article.,Farm,,"
                Primary production has always been considered the weak link in the entire food production chain (from farm to fork) and, due also to the grave health and food emergencies that have taken place over the years (BSE, dioxin, avian flu etc.), greater attention has been focused …
              ",farm,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31286849/,,Occupational,,"
                Investigators who work with commercial fishermen are all too familiar with these potential obstacles and barriers to performing occupational safety and health research. Such has been the case along the Texas and Louisiana gulf coasts, where the burden of occupational …
              ",occupational,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29611610/,,,,"
                The secondary objectives were to assess the knowledge, attitudes and practices of seafarers regarding occupational dermatoses to conduct information, awareness and education campaigns on risk factors and behaviours and to propose adapted prevention. MATERIALS AND METHODS: …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29614742/,Free PMC article.,,,"
                Participants reported numerous pathways connecting commercial fishing with opioid use. The combination of high stress and physically tasking job duties requires comprehensive workplace interventions to prevent chronic pain and MSDs, in addition to tailored and cultu …
              ",job,workplace,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30050983/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29297570/,Free PMC article.,occupational,,"
                Fishing is a hazardous occupation worldwide. Commercial fishers in Finland are an aging and diminishing population with a high injury rate. Insurance claims data for self-employed Finnish commercial fishers during the years 1996 through 2015 (n = 1951) were analysed to ass …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32310217/,,,,"
                Among the risks to the health of fishermen, it should be noted that high noise levels cause hearing loss and general health problems. OBJECTIVE: to investigate the effects of exposure to occupational noise on hearing in professional fishermen at the main large-scale commer …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30589062/,,Occupational,,"
                We used an individual questionnaire inspired by those of the National Institute for Research and Security of France and of the Karasek's Job Content Questionnaire. RESULTS: The prevalence of self-reported stress was 53.9%. ...Health promotion and education initiativ …
              ",s,Job,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32734040/,Free PMC article.,occupational,aquaculture,"
                Diseases have been recognized as the major obstacle to the shrimp (Penaeus monodon) and prawn (Macrobrachium rosenbergii) aquaculture production in Bangladesh. This study provides an assessment of shrimp and prawn diseases/syndromes, health management practices, and occ …
              ",aquaculture,occ,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31352877/,,,,"
                Objectives: The study objective was to estimate a denominator of exposure to inshore lobstering in Full-Time Equivalents (FTEs), to count incident injury data from a sample cohort of this population, to use this count to calculate rates for incident injuries, and to use official …
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30931518/,Free article.,,,"
                BACKGROUND: Commercial fishing is a hazardous occupation in the United States (US). Injury surveillance data relies heavily on US Coast Guard reports, which capture injuries severe enough to require reporting. The reports do not incorporate the fishermen's perspecti …
              ",occupation,s,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31866674/,Free article.,aquaculture,,"
                Progress towards the South African Government's social upliftment targets on food security, equity, job creation and economic development can be made by diversification of fish production in the country's aquaculture sector. ...An aquaculture …
              ",s,job,fish,,s,aquaculture,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31121932/,Free PMC article.,,,"
                The most significant impact factors are pollution (54%), biological resources use (53%), natural system modification (53%), and agriculture and aquaculture (42%). The main affected objects are land area and environment of the wetlands, occurred in 75% and 69% of the sites, …
              ",aquaculture,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31375121/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30230431/,,Occupational,Aquaculture,"
                OBJECTIVE: To characterize occupational injuries of aquaculture workers in Washington State. METHODS: We reviewed accepted Washington State workers' compensation claims from January 1, 2006 to December 31, 2014. ...A significant upward trend (p = 0.003) in aquacu …
              ",occupational,aquaculture,aquacu,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31581450/,Free PMC article.,,,"
                In Taiwan, immigrant workers play an important role in fisheries but they are easily ignored by society. The health problems and associated characteristics of immigrant workers in fisheries remain unclear. ...Compared with the natives, the immigrant workers had a si …
              ",fisheries,fisheries,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32748376/,Review.,,,"
                International Standardization Committee for Dysphagia: 22 countries implemented this framework, which was developed by a wide range of professions, including nutrition & dietetics, medicine, speech pathology, occupational therapy, nursing, food science & technology …
              ",occupational,,,,,,Chinese.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31412468/,Free PMC article.,aquaculture,,"
                Aquaculture systems are highly complex, dynamic and interconnected systems influenced by environmental, biological, cultural, socio-economic and human behavioural factors. ...The pathways for human exposure to antibiotics and ABR were characterised as: occupational …
              ",,,,,,,,,"Aquaculture systems are highly complex, dynamic and interconnected systems influenced by environmental, biological, cultural, socio-economic and human behavioural factors. ...The pathways for human exposure to antibiotics and ABR were characterised as: occupational",Aquaculture,occupational,
https://pubmed.ncbi.nlm.nih.gov/31859937/,Free PMC article.,fish,,"
                INTRODUCTION: This study aimed to document injuries caused by fish among professional fishermen in the Western Brazilian Amazon. ...RESULTS: Among 51 fishermen interviewed, most injuries were due to mandi (Pimelodus spp.), and the hands were the most injured region, result …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32284583/,Review.,,,"
                We propose enhancements to postdoc-centred policies and practices to better align this career stage with contemporary job markets and work life. By facilitating productivity, wellness and career advancement, the proposed changes will benefit all stakeholders in postdoc suc …
              ",job,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/32899764/,Free PMC article.,Aquaculture,,"
                Beyond farm production of nutrient-rich foods, generalized estimating equations showed that diet quality was influenced by the higher educational level and occupation of adult household members, higher daily per capita food expenditure, sex, family size and region. …
              ",farm,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/33125397/,Free PMC article.,s,s,"
                Odds of drinking increased with age, previous (versus current) marriage and past year drug use. By occupation, highest odds of drinking were among fishermen and (in women) bar/restaurant workers. ...Alcohol reduction programs should be implemented in Uganda's fishin …
              ",occupation,s,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32745738/,,fish,,"
                The study examines the levels of total mercury (Hg) and selenium (Se) in the muscle tissue of 12 commercially important fish species (n = 717) from 48 locations in the eastern Adriatic Sea, as a function of fish species, size and habitat. ...All samples but one were …
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27681217/,,Occupational,,"
                MATERIALS AND METHODS: The data for this study was acquired from The Farmers' Social Insurance Institution, who handles the mandatory pension and occupational injury insurance of Finnish commercial fishers. Descriptive statistics was used to categorise and analyse the data …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31293225/,,,,"
                Critically, the fit between available marine forecast products, fish harvesters' needs, and harvester's decision-making processes has not been rigorously assessed. This paper addresses these gaps by documenting a) weather-related decision-making by harvesters, and i …
              ",fish,s,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32487266/,Free PMC article.,s,,"
                BACKGROUND: Fishermen and boatmen are a population at-risk for contracting schistosomiasis due to their high frequency of water contact in endemic areas of schistosomiasis in the People's Republic of China (P. R. China). To develop specific interventions towards this popul …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31965496/,,s,,"
                The data were analysed using SPSS, whereby to achieve the study's main objective, inferential analysis which refers to the independent t test was performed to examine any possible significant difference that might exist. In regard to this matter, various significant differ …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32243591/,,Occupational,,"
                OBJECTIVES: To report the causative agents and risk occupations for CU and PCD in the Finnish Register of Occupational Diseases (FROD). ...RESULTS: With 570 cases, CU and PCD constituted 11% of all recognized cases of occupational skin diseases in the study p …
              ",occupations,Occupational,occupational,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31890955/,Free PMC article.,fish,,"
                Besides, Escherichia coli O157: H7 was isolated from filleted fish (5/214) and whole fish (1/125); however, it was not isolated from samples of ready to eat fish and working environments of restaurants. ...The occurrence of such pathogenic organisms in fis …
              ",fish,fish,fish,,fis,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30245302/,,,,"
                Fishing is a challenging occupation, in which physical and mental health risks may be exacerbated by environmental, socio-economic and policy change. ...
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30698347/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32781313/,,,,"
                Also, a comparison of the metabolome for fish from the reference site and fish from a hatchery upstream of one of the effluent-receiving estuaries indicated no differences, implying that residency for fish in the contaminated estuary resulted in major …
              ",fish,fish,hatchery,,fish,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32212149/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32144796/,,,,"
                Overharvesting of terrestrial and marine resources may be alleviated by encouraging an alternative configuration of livelihoods, particularly in rural communities in developing countries. Typical occupations in such areas include fishing and farming, and rural households o …
              ",occupations,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30800129/,Free PMC article.,,,"
                
              ",,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31301994/,,,,"
                This article describes the conception, implementation, and evaluation of a wilderness medicine-based first aid class for the commercial fishing industry. Commercial fishing is a dangerous occupation in the United States. Currently, commercial fishermen often only have acce …
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29611609/,,,,"
                The questionnaire is composed of four sections: sociodemographic and occupational characteristics, toxic habits, medical history and respiratory clinical symptoms. ...
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32888050/,,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31927731/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31335297/,,,,"
                Control measures must account for the remote and resource-limited workplace in commercial fishing....
              ",workplace,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27681213/,Free article.,Occupational,,"
                In 2006 we published our first review based on the available literature on occupational asthma in maritime environments in the ""International Maritime Health"" journal. ...This review aims to provide an update of the current knowledge base about occupational asthma i …
              ",occupational,occupational,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/30838967/,,,,"
                The overall prevalence of intestinal helminths, including S. mansoni, was 69.54%. Similar prevalences of S. mansoni were recorded in age groups 15-19, 20-24 and 25-29 years: 31.82%, 31.75% and 31.94%, respectively. ...The results indicate moderate endemicity of S …
              ",S,S,S,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30304282/,Free article.,fish,,"
                INTRODUCTION: Injuries caused by fish are common in the Pantanal, a flooded area in Midwestern Brazil. METHODS: A survey was conducted to identify venomous and trauma-inducing fish and the incidence of such injuries in a local fishing community. ...
              ",fish,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31901242/,Free PMC article.,,,"
                Sloan Foundation supported a workshop entitled ""Viruses in the Built Environment (VIBE),"" at which experts in environmental engineering, environmental microbiology, epidemiology, infection prevention, fluid dynamics, occupational health, metagenomics, and virology convened …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29085951/,Free article.,,,"
                
              ",,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/28704139/,,Fisheries,,"
                With Australian agricultural industries being among the nation's most dangerous workplaces, there is a need for action. While there are currently known solutions, their implementation is limited. ...
              ",s,workplaces,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31713390/,Chinese.,,,"
                Logistic regression analysis showed that the mobile populations with original occupations of aquaculture and husbandry were more likely to be sero-positive. The mobile populations had an overall low awareness rate of schistosomiasis prevention and control knowledge, …
              ",occupations,aquaculture,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29217379/,Free article.,,,"
                OBJECTIVES: While a wide range of domestic and wild animals are known to be reservoirs of the disease, occupation, international travel and recreation are beginning to assume a center stage in the transmission of the disease. ...This, in addition to the frequency of floodi …
              ",occupation,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/28379945/,,fish,,"
                In fisheries, the tragedy of the commons manifests as a competitive race to fish that compresses fishing seasons, resulting in ecological damage, economic waste, and occupational hazards. ...This evidence informs the current debate over expanding the use of m …
              ",fisheries,fish,occupational,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32530639/,Free PMC article.,,,"
                
              ",,,,,,,No abstract available.,No abstract available.,,,,
https://pubmed.ncbi.nlm.nih.gov/33014075/,Free PMC article.,,,"
                A cross-sectional study was conducted in three subcounties in Arua district to assess the community's awareness, cultural norm, and practices regarding anthrax. This followed a report of active cases of human cutaneous anthrax in the district. ...Poor practices associated …
              ",s,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31509996/,Free PMC article.,Workplaces,Occupational,"
                We assessed the risk of fatal occupational injuries among migrant workers with two different types of employment permits in South Korea. ...The prohibition on changing workplaces; male sex; age 45 years; machine operator; construction industry; and agriculture, live …
              ",occupational,workplaces,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31234896/,Free PMC article.,fish,,"
                The purpose of the current study was the risk assessment of upper limb-WMSDs of workers engaged in tasks of anchovies filleting and packaging in a fish industry considering the ergonomic evaluation and the painful symptomatology complained by employees of different age. .. …
              ",fish,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/28245578/,Free PMC article.,Occupational,,"
                Although marine fishing is one of the most hazardous occupations, research on the occupational safety and health (OSH) conditions aboard marine fishing vessels is scarce. ...The associations of physical and psychosocial work conditions with safety and health outcome …
              ",occupations,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30351663/,Review.,fish,,"
                Hygienic work conditions on fish-processing complexes mostly remain hard and hazardous, sometimes even dangerous. Presented literature data and some personal studies characterize current state of industrial medicine topics on fish- processing enterpirses. Absence of …
              ",fish,fish,,,,,Russian.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31150391/,Free PMC article.,,,"
                The disease is often mistaken for other febrile illnesses such as dengue, malaria, rickettsioses and enteric fever. Leptospirosis is an occupational disease likely to affect people working in environments prone to infestation with rodents which are the primary reservoir ho …
              ",occupational,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27393325/,Free PMC article.,Workplace,Fisheries,"
                Fisheries industry in India is an unorganized sector of occupation where considerable proportion of workers is female. ...In a cross-sectional study 171 fishermen and fisherwomen were interviewed to collect information about workplace violence. The overall pr …
              ",,,,,,,,,Fisheries industry in India is an unorganized sector of occupation where considerable proportion of workers is female. ...In a cross-sectional study 171 fishermen and fisherwomen were interviewed to collect information about workplace violence. The overall pr,Fisheries,occupation,workplace
https://pubmed.ncbi.nlm.nih.gov/28335439/,Free PMC article.,Fish,,"
                The aims of our study were to: (1) examine patterns in the total hair mercury level of human participants in several communities in the region and compare these results to the 2.2 g/g total hair mercury level equivalent to the World Health Organization (WHO) Expert Committee of F …
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32093689/,Free PMC article.,,,"
                . , CONCLUSION: Nomadic pastoralists are more likely to engage in risky practices that promote Brucella Infection, probably because of their occupation and culture, despite having significant knowledge of the disease....
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31280697/,,Aquaculture,,"
                Objectives: In Norwegian aquaculture, safer technology and better safety management systems have been developed during the last decade. ...It was hypothesized that reporting of hazardous situations was positively predicted by work experience, having the position as operati …
              ",aquaculture,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29297577/,,,,"
                BACKGROUND: Fishery is a hazardous occupation and fatigue may contribute to the observed risks. This study aims to investigate the association between workload and fatigue among Danish fishermen. ...
              ",occupation,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31297365/,Free PMC article.,,,"
                While gender and ethnicity were important factors for general awareness of zoonotic diseases. Highly ranked occupations at risk included veterinarian, butchers and milk handlers. ...
              ",occupations,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32673345/,Free PMC article.,,,"
                Social support for health (ES = 0.21 and 0.27, respectively). In comparison to other occupations, fishing occupation had a negative impact on scale 7. Navigating the healthcare system (ES -0.23). ...
              ",occupations,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32341414/,Free PMC article.,,,"
                
              ",,,,,,,Clinical Trial.,,,,,
https://pubmed.ncbi.nlm.nih.gov/32921274/,,Fisheries,,"
                From these first-hand accounts, we provide the immediate and expansive impacts of COVID-19 on fishermen's health and wellbeing. In particular, we discuss the economic impact of COVID-19 market disruptions, as well as the very real, logistical challenges of protecting worke …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31986138/,Free PMC article.,fish,occupational,"
                Anti-Anisakis IgE seroprevalence and risk factors for 600 employees of Croatian fish processing facilities and 466 blood donor controls, were assessed by indirect ELISA targeted with: recombinant Ani s 1 and Ani s 7 allergens, an Anisakis crude extract, the c …
              ",fish,s,s,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29114898/,Review.,occupational,,"
                
              ",,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/31003118/,,Fish,,"
                While propensity score matching approach was employed to estimate the Average Treatment Effect on the Treated (ATT) using productivity level as an outcome, double-difference approach and Gini coefficient were used to estimate the project's impact on the income of the benef …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29611614/,,Occupational,,"
                However, there are no epidemiological data on the role of other causes, particularly occupational ones, in genesis of this disease. The objective of our work is to expose medical and occupational data of 3 fishermen with lung cancer and discuss a possible occupat …
              ",occupational,occupational,occupat,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26373216/,,Fish,Hatchery,"
                This study examined occupational noise within two rearing facilities at a production fish hatchery and evaluated two simple noise reduction techniques. ...Decibel levels showed the greatest reduction when the tanks and standpipes were both covered. These resu …
              ",occupational,fish,hatchery,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26894930/,,occupations,,"
                Those indicating farming, forestry, or fishing as longest job worked were classified as having an FFF history and compared to those reporting any other occupation. ...After controlling for age, gender, race/ethnicity, education, and income-to-poverty ratio, those wi …
              ",job,occupation,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30055534/,Review.,,,"
                Among these, tickborne viral disease, Crimean-Congo hemorrhagic fever (CCHF) is one of the most fatal infections. Rapid climate change aroused by industrial, occupational, and agricultural activities to support ever-growing human population has been considered the single m …
              ",occupational,,,,,,Review.,,,,,
https://pubmed.ncbi.nlm.nih.gov/29698380/,Free PMC article.,,,"
                Commercial fishing is one of the most dangerous jobs in the United States, with a 2016 work-related fatality rate (86.0 deaths per 100,000 full-time equivalent workers) 23 times higher than that for all U.S. workers (3.6) (1). Sinking vessels cause the most fatalities in t …
              ",S,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/26244844/,Free PMC article.,,,"
                The study also includes an assessment of socio-demographic, occupational and behavioral correlates of testing positive for HIV or HCV, and socio-demographic and occupational correlates of risk behaviors. ...
              ",occupational,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31752912/,Free PMC article.,,,"
                
              ",,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30962895/,Free PMC article.,occupation,,"
                We used a space-for-time substitution to make foraging observations of sea otters (Enhydra lutris) across a gradient of reoccupation time (1-30 years), and nonmetric multidimensional scaling (nMDS) analysis to ask whether (a) sea otter niche space varies as a function of occup …
              ",occup,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32604458/,Free article.,,,"
                Social-demographic variables (age, years of experience at sea, job satisfaction, education, current and childhood place of residence, relationship status) were also included in the analysis. ...
              ",job,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30726459/,Free PMC article.,,,"
                METHODS: The dermatoses were identified and tabulated for two years, in a prospective study carried out on monthly trips to the fishermen's colony in Picinguaba. RESULTS: One hundred and eighteen patients were attended and followed up, which is equivalent to about 1/3 of t …
              ",s,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/32938994/,Free PMC article.,,,"
                These birds also displayed lower levels of behaviours indicative of positive welfare (enrichment bale occupation, qualitative 'happy/active' scores, play, ground-scratching) than birds in Conditions 1-3. These findings provide farm-based evidence that significant we …
              ",occupation,farm,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/27217572/,Free PMC article.,,,"
                Native American fisheries were focused on nearshore oysters and were likely harvested at a rate that was sustainable over centuries to millennia, despite changing Holocene climatic conditions and sea-level rise. These data document resilience in oyster populations under lo …
              ",fisheries,,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/30839874/,Free PMC article.,fish,,"
                Besides, post-harvest loss in the fisheries sector is not yet well-studied. This study objective aims to assess causes and extent of post-harvest loss associated with fish in Lakes of Hayq and Tekeze. ...Provision of support services and assets such as freezers, ele …
              ",fisheries,fish,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29214320/,,,,"
                Fifth, some of the included studies compared agricultural, forestry, and fishery workers with a specific occupational group. The reviewers could calculate a risk estimate using all other occupational groups as a comparison group and exclude those studies that did no …
              ",occupational,occupational,,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/29751622/,Free PMC article.,Occupational,Occupational,"
                The aim of this study was to examine the potential differences in workers' diets based on the classification of workers into smaller occupational groups that comprise ""large occupational categories"". The subjects of this study were working fathers who had participat …
              ",occupational,occupational,,s,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/31890970/,Free PMC article.,,,"
                Interactions between project activities and environmental parameters were also done by a matrix, and quantitative and qualitative analysis. As a result, identified positive impacts are new job creation, the opportunity to promote traditional agriculture and income increase …
              ",job,,,,,,,,,,,
