Abstract,Keywords,Title,Urls
"Background:
        
      
      Next generation sequencing (NGS) is becoming widely used among diagnostics and research laboratories, and nowadays it is applied to a variety of disciplines, including veterinary virology. The NGS workflow comprises several steps, namely sample processing, library preparation, sequencing and primary/secondary/tertiary bioinformatics (BI) analyses. The latter is constituted by a complex process extremely difficult to standardize, due to the variety of tools and metrics available. Thus, it is of the utmost importance to assess the comparability of results obtained through different methods and in different laboratories. To achieve this goal, we have organized a proficiency test focused on the bioinformatics components for the generation of complete genome sequences of salmonid rhabdoviruses.
    
  

  


              
                


  
    
      
        
          Methods:
        
      
      Three partners, that performed virus sequencing using different commercial library preparation kits and NGS platforms, gathered together and shared with each other 75 raw datasets which were analyzed separately by the participants to produce a consensus sequence according to their own bioinformatics pipeline. Results were then compared to highlight discrepancies, and a subset of inconsistencies were investigated more in detail.
    
  

  


              
                


  
    
      
        
          Results:
        
      
      In total, we observed 526 discrepancies, of which 39.5% were located at genome termini, 14.1% at intergenic regions and 46.4% at coding regions. Among these, 10 SNPs and 99 indels caused changes in the protein products. Overall reproducibility was 99.94%. Based on the analysis of a subset of inconsistencies investigated more in-depth, manual curation appeared the most critical step affecting sequence comparability, suggesting that the harmonization of this phase is crucial to obtain comparable results. The analysis of a calibrator sample allowed assessing BI accuracy, being 99.983%.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      We demonstrated the applicability and the usefulness of BI proficiency testing to assure the quality of NGS data, and recommend a wider implementation of such exercises to guarantee sequence data uniformity among different virology laboratories.","
      
        
          Keywords:
        
      
      Bioinformatics; NGS; Proficiency testing; Virology.
    ","
  
    
    
    
    
      
  Sequencing of animal viruses: quality data assurance for NGS bioinformatics


    
  
",https://pubmed.ncbi.nlm.nih.gov/31752912/
"Predators exert strong effects on ecological communities, particularly when they re-occupy areas after decades of extirpation. Within species, such effects can vary over time and by sex and cascade across trophic levels. We used a space-for-time substitution to make foraging observations of sea otters (Enhydra lutris) across a gradient of reoccupation time (1-30 years), and nonmetric multidimensional scaling (nMDS) analysis to ask whether (a) sea otter niche space varies as a function of occupation time and (b) whether niche space varies by sex. We found that niche space varied among areas of different occupation times. Dietary niches at short occupation times were dominated by urchins (Mesocentrotus and Strongylocentrotus spp; >60% of diets) in open habitats at 10-40 m depths. At longer occupation times, niches were dominated by small clams (Veneroida; >30% diet), mussels (Mytilus spp; >20% diet), and crab (Decapoda; >10% diet) in shallow (<10 m) kelp habitats. Diet diversity was lowest (H' = 1.46) but energy rich (~37 kcal/min) at the earliest occupied area and highest, but energy poor (H' = 2.63, ~9 kcal/min) at the longest occupied area. A similar transition occurred through time at a recently occupied area. We found that niche space also differed between sexes, with bachelor males consuming large clams (>60%), and urchins (~25%) from deep waters (>40 m), and females and territorial males consuming smaller, varied prey from shallow waters (<10 m). Bachelor male diets were less diverse (H' = 2.21) but more energy rich (~27 kcal/min) than territorial males (H' = 2.54, ~13 kcal/min) and females (H' = 2.74, ~11 kcal/min). Given recovering predators require adequate food and space, and the ecological interactions they elicit, we emphasize the importance of investigating niche space over the duration of recovery and considering sex-based differences in these interactions.","
      
        
          Keywords:
        
      
      Enhydra lutris; foraging behaviour; intraspecific niche partitioning; niche space; predator effects; predator recovery; sea otter.
    ","
  
    
    
    
    
      
  Sex and occupation time influence niche space of a recovering keystone predator


    
  
",https://pubmed.ncbi.nlm.nih.gov/30962895/
"The current article describes a naturalistic research programme carried out among fishermen during a 6-month expedition to the southern Atlantic Ocean. Stress levels of 81 participants were measured 4 times during the expedition. Social-demographic variables (age, years of experience at sea, job satisfaction, education, current and childhood place of residence, relationship status) were also included in the analysis. Results show that these variables should be considered when analysing stress dynamics among people experiencing long-term work-related isolation.","
      
        
          Keywords:
        
      
      anxiety; demographic variables; longitudinal study; sea isolation; stress.
    ","
  
    
    
    
    
      
  Stress dynamics in long-term isolation at sea. A demographic variables model


    
  
",https://pubmed.ncbi.nlm.nih.gov/32604458/
"Background:
        
      
      The fishing colony of the Picinguaba neighborhood is located at the northern end of the coast of the state of São Paulo. It has about 300 residents, of which approximately 100 are professional fishermen.
    
  

  


              
                


  
    
      
        
          Objectives:
        
      
      This study aimed to identify the main dermatoses of the community in comparison with other populations, and their frequency.
    
  

  


              
                


  
    
      
        
          Methods:
        
      
      The dermatoses were identified and tabulated for two years, in a prospective study carried out on monthly trips to the fishermen's colony in Picinguaba.
    
  

  


              
                


  
    
      
        
          Results:
        
      
      One hundred and eighteen patients were attended and followed up, which is equivalent to about 1/3 of the colony's inhabitants. Of these, 43 were children (under the age of 14) and 75 were adolescents and adults. The diseases observed were catalogued according to the age groups. Although most dermatoses in the community were similar with those observed in the general population, some specific cases could be seen, such as folliculitis on the legs of fishermen and an unexpected low frequency of actinic lesions in the colony, as well as dermatitis by aquatic animals.
    
  

  


              
                


  
    
      
        
          Study limitations:
        
      
      The limitations were monthly attendance and the spontaneous demand of the patients.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      The finding of community-specific dermatoses and the low incidence of malignant and pre-malignant tumors associated with sun exposure needs further studies for better clarification.",,"
  
    
    
    
    
      
  Profile of skin diseases in a community of fishermen in the northern coast of the state of São Paulo: the expected and the unusual


    
  
",https://pubmed.ncbi.nlm.nih.gov/30726459/
"Broiler chicken welfare is under increasing scrutiny due to welfare concerns regarding growth rate and stocking density. This farm-based study explored broiler welfare in four conditions representing commercial systems varying in breed and planned maximum stocking density: (1) Breed A, 30 kg/m2; (2) Breed B, 30 kg/m2; (3) Breed B, 34 kg/m2; (4) Breed C, 34 kg/m2. Breeds A and B were 'slow-growing' breeds (< 50 g/day), and Breed C was a widely used 'fast-growing' breed. Indicators of negative welfare, behavioural indicators of positive welfare and environmental outcomes were assessed. Clear differences between conditions were detected. Birds in Condition 4 experienced the poorest health (highest mortality and post-mortem inspection rejections, poorest walking ability, most hock burn and pododermatitis) and litter quality. These birds also displayed lower levels of behaviours indicative of positive welfare (enrichment bale occupation, qualitative 'happy/active' scores, play, ground-scratching) than birds in Conditions 1-3. These findings provide farm-based evidence that significant welfare improvement can be achieved by utilising slow-growing breeds. There are suggested welfare benefits of a slightly lower planned maximum stocking density for Breed B and further health benefits of the slowest-growing breed, although these interventions do not offer the same magnitude of welfare improvement as moving away from fast-growing broilers.",,"
  
    
    
    
    
      
  Slow-growing broilers are healthier and express more behavioural indicators of positive welfare


    
  
",https://pubmed.ncbi.nlm.nih.gov/32938994/
"Estuaries around the world are in a state of decline following decades or more of overfishing, pollution, and climate change. Oysters (Ostreidae), ecosystem engineers in many estuaries, influence water quality, construct habitat, and provide food for humans and wildlife. In North America's Chesapeake Bay, once-thriving eastern oyster (Crassostrea virginica) populations have declined dramatically, making their restoration and conservation extremely challenging. Here we present data on oyster size and human harvest from Chesapeake Bay archaeological sites spanning ∼3,500 y of Native American, colonial, and historical occupation. We compare oysters from archaeological sites with Pleistocene oyster reefs that existed before human harvest, modern oyster reefs, and other records of human oyster harvest from around the world. Native American fisheries were focused on nearshore oysters and were likely harvested at a rate that was sustainable over centuries to millennia, despite changing Holocene climatic conditions and sea-level rise. These data document resilience in oyster populations under long-term Native American harvest, sea-level rise, and climate change; provide context for managing modern oyster fisheries in the Chesapeake Bay and elsewhere around the world; and demonstrate an interdisciplinary approach that can be applied broadly to other fisheries.","
      
        
          Keywords:
        
      
      archaeological shellfish; environmental management; fossil shellfish; historical baseline; marine fisheries.
    ","
  
    
    
    
    
      
  Millennial-scale sustainability of the Chesapeake Bay Native American oyster fishery


    
  
",https://pubmed.ncbi.nlm.nih.gov/27217572/
"Fisheries play a significant role in food security, livelihood, and source of income in developing countries. The annual fish production potential of Ethiopia reaches up to 51, 000 tones, however, the actual production is much less than the potential that the country has. The fisheries sector of Ethiopian is not well developed regarding pre and post-harvest handling practices. Besides, post-harvest loss in the fisheries sector is not yet well-studied. This study objective aims to assess causes and extent of post-harvest loss associated with fish in Lakes of Hayq and Tekeze. Post-harvest loss assessment was conducted using a simple random sampling approach from October 2017 to May 2018. The study was conducted based on FAO recommendations of qualitative and quantitative field assessment methods. These methods include Informal fish loss assessment method (IFLAM), load tracking (LT) and the questionnaire loss assessment method (QLAM) methods were used to assess the causes and to estimate the amount of PHL of fish. The data generated by these methods were analyzed descriptively as well as a GLM model was used to understand the causes of fish loss in the two study lakes. A total of 140 randomly selected participants were included in the interview process. From these participants, 85 of them were from lake Tekeze while the rest were from Hayq. Results indicate that high environmental temperature, absence or delayed marketing, harvesting immature fish, predators, and flood are the most important causes of post-harvest loss of fish in the two Lakes. Besides a GLM model predicted that study lake, boat type used, boat ownership, species of fish harvested, preservation method used, distance to market (Km), Maximum catch/day (Kg), Minimum catch/day (Kg), and Fishing experience were essential predictors for post-harvest loss incurred by fishermen on daily basis. Based on secondary data from agricultural office, the monetary value of the post-harvest loss of fish was estimated to be 10,934,000 Ethiopian birrs (397,600 USD) for the last six years in the study areas. A considerable product loss in the fisheries sector indicates the need for intervention by stakeholders. Provision of support services and assets such as freezers, electricity generators, boats, legal net and on job training about proper handling practices may play a tremendous role in decreasing post-harvest loss in the fisheries sector of the study areas.","
      
        
          Keywords:
        
      
      Agriculture.
    ","
  
    
    
    
    
      
  Assessment of post-harvest fish losses in two selected lakes of Amhara Region, Northern Ethiopia


    
  
",https://pubmed.ncbi.nlm.nih.gov/30839874/
"In their meta-analysis, Klingelschmidt and her associates (1) found that agricultural, forestry, and fishery workers are at 48% higher risk of suicide than the working-age population. Moreover, they found that the excess risk is even greater among Japanese agricultural workers than workers from other high-income countries. There are several concerns regarding this meta-analysis. It appears that the excess risk has been overestimated for these workers. Furthermore, the excess risk in Japan is not different than other high-income countries. First, in a systematic review, a literature search is comprehensive. A search of a single database is unlikely to identify most of relevant studies, and these types of reviews are not therefore considered as systematic reviews (2). In this review, a specialized database (-PsycINFO) or a European database (EMBASE or -Scopus) was not searched. Second, following the PRISMA guidelines, the critical appraisal of included studies (quality assessment) is a requirement for a systematic review. In a meta-analysis of observational studies, selection bias and confounding should be ruled out. Third, the reviewers did not correctly extract confidence intervals (CI) for the estimates of several studies such as Hassler 2004, Fleming 1999, and Fragar 2011. Moreover, some studies reported both the least- and maximally adjusted risk estimates. The reviewers, however, extracted age- or the least-adjusted risk estimate. A confounder-adjusted estimate is a more appropriate estimate of the true association. In some studies [eg, Kposowa (3) Agerbo (4)], the excess risk dropped by 52-71% after adjustment for confounders. As a sensitivity analysis, the reviewers could limit their meta-analysis to a subgroup of studies controlled for confounders. Fourth, the reviewers did not estimate an overall risk estimate for each study. They included the estimates of 2-6 subgroups for 22 studies in forest and funnel plots. A fixed-effect meta-analysis is a more appropriate model to combine the subgroups of a single study. Moreover, for the assessment of publication bias, it is not appropriate to include several subsamples of a single study in a funnel plot. Using estimates of subgroups can change a large study into several smaller studies. Fifth, some of the included studies compared agricultural, forestry, and fishery workers with a specific occupational group. The reviewers could calculate a risk estimate using all other occupational groups as a comparison group and exclude those studies that did not provide sufficient data for estimating such a risk estimate. In some studies, the excess risk for agricultural, forestry, and fishery workers disappears after comparing with other occupational groups [eg, adjusted risk ratios (RR) for Kposowa (3) = 1.02, 95% CI 0.41-2.54]. This is a main reason for observed higher excess risk in Japanese workers. Wada et al (5) compared Japanese agricultural workers with sales workers and Suzuki et al (6) compared Japanese agricultural, forestry, and fishery workers with production process and related workers. Using all other occupational groups as a reference group, age-adjusted RR dropped from 3.53 (95% CI 2.84-4.38) to 2.61 (95% CI 2.10-3.25) for Wada et al (5) and from 3.24 (CI 2.95-3.57, both sexes combined) to 1.31 (CI 1.27-1.35 age-adjusted OR after excluding unemployed people) for Suzuki et al (6). The pooled estimate of these two register-based studies was 1.33 (95% CI 1.29-1.37) using a fixed model and 1.83 (95% CI 0.93-3.60) using a random model. Sixth, most of the included studies used register data, which had little information on the background characteristics of the participants. A majority of these studies controlled the estimates for age and sex only. Moreover, in this review, prospective cohort studies did not support the observed association. A meta-analysis of 11 case-control and prospective cohort studies shows no significant excess risk of suicide for agricultural, forestry, and fishery workers (pooled estimate = 1.02, 95% CI 0.71-1.47 for 6 cohort studies and 1.13, 95% CI 0.92-1.39, I2 = 91% for 11 case control and cohort studies, combining maximally adjusted risk estimates and comparing agricultural, forestry, and fishery workers with all other occupational groups where possible). The excess risk found in this review (1) can thus largely be due to confounding. References 1. Klingelschmidt J, Milner A, Khireddine-Medouni I, Witt K, Alexopoulos EC, Toivanen S, LaMontagne AD, Chastang JF, Niedhammer I. Suicide among agricultural, forestry, and fishery workers: a systematic literature review and meta-analysis. Scand J Work Environ Health. 2018;44(1):3-15. https://doi.org/10.5271/sjweh.3682. 2. Puljak L. If there is only one author or only one database was searched, a study should not be called a systematic review. J Clin Epidemiol. 2017;91:4-5. https://doi.org/10.1016/j.jclinepi.2017.08.002. 3. Kposowa AJ. Suicide mortality in the United States: differentials by industrial and occupational groups. Am J Ind Med. 1999;36:645-52. https://doi.org/10.1002/(SICI)1097-0274(199912)36:63.0.CO;2-T. 4. Agerbo E, Gunnell D, Bonde JP, Mortensen PB, Nordentoft M. Suicide and occupation: the impact of socio-economic, demographic and psychiatric differences. Psychol Med. 2007;37:1131-40. https://doi.org/10.1017/S0033291707000487. 5. Wada K, Gilmour S. Inequality in mortality by occupation related to economic crisis from 1980 to 2010 among working-age Japanese males. Sci Rep. 2016;6:22255. https://doi.org/10.1038/srep22255. 6. Suzuki E, Kashima S, Kawachi I, Subramanian SV. Social and geographical inequalities in suicide in Japan from 1975 through 2005: a census-based longitudinal analysis. PLoS One. 2013;8:e63443. https://doi.org/10.1371/journal.pone.0063443.",,"
  
    
    
    
    
      
  Suicide among agricultural, forestry, and fishery workers


    
  
",https://pubmed.ncbi.nlm.nih.gov/29214320/
"Studies examining workers' diet according to smaller occupational groups within ""large occupational categories"" are sparse. The aim of this study was to examine the potential differences in workers' diets based on the classification of workers into smaller occupational groups that comprise ""large occupational categories"". The subjects of this study were working fathers who had participated in the Japan Environment and Children's Study (N = 38,656). Energy and nutrient intake were calculated based on data collected from the Food Frequency Questionnaire. Occupations were classified according to the Japanese Standard Occupational Classification. Logistic regression analyses were performed to examine the adherence to current dietary recommendations within smaller occupational groups. In particular, significant differences were observed among the categorical groups of ""professional and engineering workers"", ""service workers"", and ""agricultural, forestry, and fishery workers"". In ""professional and engineering workers"", teachers showed higher odds of adherence to calcium intake recommendations compared with nurses (OR, 2.54; 95% CI, 2.02⁻3.14; p < 0.001). In ""agricultural, forestry, and fishery workers"", agriculture workers showed higher odds of adherence to calcium (OR, 2.15; 95% CI, 1.46⁻3.15; p < 0.001) and vitamin C (OR 1.90, 95% CI 1.31⁻2.74, p = 0.001) intake recommendations compared with forestry and fishery workers. These findings may be beneficial from a research perspective as well as in the development of more effective techniques to improve workers' diet and health.","
      
        
          Keywords:
        
      
      dietary intake; nutrient intake; occupational classification.
    ","
  
    
    
    
    
      
  Dietary Differences in Male Workers among Smaller Occupational Groups within Large Occupational Categories: Findings from the Japan Environment and Children's Study (JECS)


    
  
",https://pubmed.ncbi.nlm.nih.gov/29751622/
"Environmental Impact of pump irrigation projects from Lake Tana (Megech - Seraba, Tana Asrate, Tana Mekonta, Tana Wenjeta, and Tana Zegie) was studied from July 2018 to February 2019. Interactions between project activities and environmental parameters were also done by a matrix, and quantitative and qualitative analysis. As a result, identified positive impacts are new job creation, the opportunity to promote traditional agriculture and income increase, whereas land, fisheries and wetland degradation, pollution, deforestation and wildlife, inefficient water use, the decline in soil fertility, erosion, sedimentation, small aquatic animal death, and cumulative impacts are negative ones. Mitigation measures for these impacts to reduce their effects to the minimum level and recommendations have been proposed so that the execution of the projects becomes a success without harming or with the least negative effect on the environment.","
      
        
          Keywords:
        
      
      Alleviation; Effect; Environment; Environmental science; Sustainability; Threats.
    ","
  
    
    
    
    
      
  Potential impact and mitigation measures of pump irrigation projects on Lake Tana and its environs, Ethiopia


    
  
",https://pubmed.ncbi.nlm.nih.gov/31890970/
"Background:
        
      
      Fishery is an important industry in Norway. Compared to other industries the number of occupational accidents is high. Fishers are exposed to a range of unfavourable working conditions, but there is limited research-based knowledge about the interaction between working conditions and health. The aim of the article is to study fishers' 1) work-related exposures and health complaints, 2) sickness absence, 3) subjective perception of health status and 3) level of job satisfaction.
    
  

  


              
                


  
    
      
        
          Materials and methods:
        
      
      Data was gathered through a telephone survey. The survey included questions about exposure, health complaints, health status and job satisfaction. Methods for analysis were descriptive statistics and relative risk (RR).
    
  

  


              
                


  
    
      
        
          Results:
        
      
      A total of 830 full-time fishers were interviewed. Coastal fishers are more exposed to factors such as climatic (RR = 1.546, 95% confidence interval [CI] 1.311-1.823), ergonomic (RR = 1.539, 95% CI 1.293-1.833) and processing (RR = 2.119, 95% CI 1.847-2.431), compared to other groups of fishers. Coastal fishers are also more likely to experience musculoskeletal problems (RR = 1.623, 95% CI 1.139-2.314), sickness absence (RR = 1.337, 95% CI 1.081-1.655) and to perceive their own health as poor (RR = 2.155, 95% CI 1.119-4.152). Purse sein fishers are less exposed to climatic (RR = 0.777, 95% CI 0.633-0.953), ergonomic (RR = 0.617, 95% CI 0.487-0.783) and processing (RR = 0.292, 95% CI 0.221-0.385) factors and are less likely to experience sickness absence (RR = 0.635, 95% CI 0.479-0.840). In terms of job satisfaction, 99% if our respondents enjoy their work.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      Norwegian fishers have a high degree of job satisfaction and overall good health. Challenges regarding health complaints and exposures in the working environment were identified. This may be helpful for the industry, showing where measures should be implemented to prevent exposure, illness and sickness absence. Findings may also serve as a basis for future intervention studies aimed at promoting healthy working environments for fishers, especially how to improve vessels and develop user-friendly technology to reduce risk of injuries and strain.","
      
        
          Keywords:
        
      
      fishermen; fishers; health; job satisfaction; work environment; work exposure.
    ","
  
    
    
    
    
      
  Work environment and health in the fishing fleet: results from a survey amongst Norwegian fishers


    
  
",https://pubmed.ncbi.nlm.nih.gov/29297571/
"Biofouling is a serious problem in marine aquaculture and it has a number of negative impacts including increased forces on aquaculture structures and reduced water exchange across nets. This in turn affects the behavior of fish cages in waves and currents and has an impact on the water volume and quality inside net pens. Even though these negative effects are acknowledged by the research community and governmental institutions, there is limited knowledge about fouling related effects on the flow past nets, and more detailed investigations distinguishing between different fouling types have been called for. This study evaluates the effect of hydroids, an important fouling organism in Norwegian aquaculture, on the forces acting on net panels. Drag forces on clean and fouled nets were measured in a flume tank, and net solidity including effect of fouling were determined using image analysis. The relationship between net solidity and drag was assessed, and it was found that a solidity increase due to hydroids caused less additional drag than a similar increase caused by change in clean net parameters. For solidities tested in this study, the difference in drag force increase could be as high as 43% between fouled and clean nets with same solidity. The relationship between solidity and drag force is well described by exponential functions for clean as well as for fouled nets. A method is proposed to parameterize the effect of fouling in terms of an increase in net solidity. This allows existing numerical methods developed for clean nets to be used to model the effects of biofouling on nets. Measurements with other types of fouling can be added to build a database on effects of the accumulation of different fouling organisms on aquaculture nets.",,"
  
    
    
    
    
      
  Drag of Clean and Fouled Net Panels--Measurements and Parameterization of Fouling


    
  
",https://pubmed.ncbi.nlm.nih.gov/26151907/
"Background:
        
      
      Fishing is an extremely dangerous occupational activity that predisposes to occupational diseases and accidents. Greece, with about 16,000 km of coastline and its unique morphological characteristics with small islands and peninsulas, represents a strong proof of its great tradition in the fisheries sector since ancient times. The aim of the study was to examine the health status and the health risk factors present in Greek fishery workers, by exploring their working environment, thus providing a current baseline for documentation of the needs for prevention and health promotion.
    
  

  


              
                


  
    
      
        
          Materials and methods:
        
      
      An interviewer-administered questionnaire was distributed in 2013 to a random sample of 172 professional small-scale fishermen of the Evros district in North-Eastern Greece.
    
  

  


              
                


  
    
      
        
          Results:
        
      
      Eighty-eight per cent worked in coastal fisheries and 73% were using small fishing vessels, less than 10 m in length overall. Health disorders included musculoskeletal, cardiovascular and visual problems and to a minor degree by hearing, dermatologic and respiratory problems in all age groups. Seventy per cent had experienced at least one occupational accident. Heavy smoking and daily alcohol consumption was seen among nearly half of the fishermen.
    
  

  


              
                


  
    
      
        
          Conclusions:
        
      
      The health effects observed are causally related to the work process exposures on board and to diet, smoking, and lack of exercise. This in turn relates to the specific working conditions, the culture and level of education in small-scale fishing that need to be taken into consideration together in the prevention programmes.","
      
        
          Keywords:
        
      
      accident; alcohol; culture and educational level; fishermen; health; smoking.
    ","
  
    
    
    
    
      
  Health status and occupational risk factors in Greek small fisheries workers


    
  
",https://pubmed.ncbi.nlm.nih.gov/27681212/
"
              
                


  
    
      
      Multigene and genomic data sets have become commonplace in the field of phylogenetics, but many existing tools are not designed for such data sets, which often makes the analysis time-consuming and tedious. Here, we present PhyloSuite, a (cross-platform, open-source, stand-alone Python graphical user interface) user-friendly workflow desktop platform dedicated to streamlining molecular sequence data management and evolutionary phylogenetics studies. It uses a plugin-based system that integrates several phylogenetic and bioinformatic tools, thereby streamlining the entire procedure, from data acquisition to phylogenetic tree annotation (in combination with iTOL). It has the following features: (a) point-and-click and drag-and-drop graphical user interface; (b) a workplace to manage and organize molecular sequence data and results of analyses; (c) GenBank entry extraction and comparative statistics; and (d) a phylogenetic workflow with batch processing capability, comprising sequence alignment (mafft and macse), alignment optimization (trimAl, HmmCleaner and Gblocks), data set concatenation, best partitioning scheme and best evolutionary model selection (PartitionFinder and modelfinder), and phylogenetic inference (MrBayes and iq-tree). PhyloSuite is designed for both beginners and experienced researchers, allowing the former to quick-start their way into phylogenetic analysis, and the latter to conduct, store and manage their work in a streamlined way, and spend more time investigating scientific questions instead of wasting it on transferring files from one software program to another.
    
  

  


              
            ","
      
        
          Keywords:
        
      
      GenBank extraction; batch capacity; high efficiency; multicore operation; partition analysis; phylogenetic flowchart.
    ","
  
    
    
    
    
      
  PhyloSuite: An integrated and scalable desktop platform for streamlined molecular sequence data management and evolutionary phylogenetics studies


    
  
",https://pubmed.ncbi.nlm.nih.gov/31599058/
"Fishing communities are a most-at-risk population for HIV in Uganda. Alcohol use and abuse and economic vulnerability fuel risky sexual practices and lead to increased risk of HIV infection in these communities. Economic strengthening is an emerging intervention approach and interventions promoting saving money via mechanisms with a ""soft commitment"" in the form of restricting or charging small fees for withdrawals, may serve to reduce spending on alcohol and spending that leads to HIV risk behaviors in cash-based economies. However, little research has been conducted to explore the potential for commitment savings-led economic strengthening interventions to address alcohol use and sexual risk behavior among fisherfolk. This cross-sectional study explored the associations between commitment savings, HIV sexual risk behavior, and problematic alcohol among fisherfolk. We also determined whether commitment savings moderated the associations between problematic alcohol use and risky sexual behaviors. 300 (132 male, 168 female) residents of fishing communities on Lake Victoria, Uganda completed a structured interviewer-assisted interview. Over half (55.3%) used commitment savings by saving money in a bank or savings cooperative or via mobile money. Having problematic alcohol use increased the rate of risky unprotected sex with: all partners (adjIRR 6.08, 95% CI 4.30-8.60) and with casual partners and CSWs/clients (adjIRR 4.90, 95% CI 3.09-7.78), and increased the odds of having met a sex partner at an alcohol venue (adjOR 2.84, 95% CI 1.46-5.51) compared to those without problematic alcohol use. Commitment savings was associated with lower odds of: problematic alcohol use (adjOR 0.50, 95% CI 0.26-0.96), meeting a sex partner at an alcohol venue (adjOR 0.43, 95% CI 0.24-0.78), as well as lower rates of risky unprotected sex with all partners (adjIRR 0.68, 95% CI 0.48-0.96), and with causal partners, CSWs/clients (adjIRR 0.38, 95% CI 0.17-0.85). Use of commitment savings moderated the associations between problematic alcohol use and unprotected sex. However, the moderating effects of commitment savings varied by gender. These findings suggest that promoting saving money in savings mechanisms which involve a commitment may be a potentially viable avenue for HIV prevention among fishing communities and may be particularly helpful for those who have problematic alcohol use.","
      
        
          Keywords:
        
      
      Alcohol; Commitment savings; Economic-strengthening; Fisherfolk; Savings-led; Sexual risk behavior; Sub-Saharan Africa; Uganda.
    ","
  
    
    
    
    
      
  Exploring the Potential of Savings-Led Economic Strengthening HIV Interventions Among High-Risk Economically Vulnerable Fishing Communities in Uganda: Associations Between Use of Commitment Savings, Sexual Risk Behavior, and Problematic Alcohol Use


    
  
",https://pubmed.ncbi.nlm.nih.gov/30924063/
"Perhabdoviruses are a threat to some freshwater fish species raised in aquaculture farms in Europe. Although the genetic diversity of these viruses is suspected to be high, the classification of isolates is still in its infancy, with just one full-length genome available and only partial sequences for a limited number of others. Here, we characterized a series of viruses isolated from percids in France from 1999 to 2009 by sequencing the nucleoprotein (N) gene. Four main clusters were distinguished, all related at varying levels of similarity to one of the two already-recognized species, namely Perch perhabdovirus and Sea trout perhabdovirus. Furthermore, we obtained the complete genome of five isolates, including one belonging to Sea trout rhabdovirus. The analysis of the complete L genes and the concatenated open reading frames confirmed the existence of four main genetic clusters, sharing 69 to 74% similarity. We propose the assignation of all these viral isolates into four species, including two new ones: Perch perhabdovirus 1, Perch perhabdovirus 2, Sea trout perhabdovirus 1 and Sea trout perhabdovirus 2. In addition, we developed new primers to readily amplify specific portions of the N gene of any isolate of each species by conventional PCR. The presence of such genetically diverse viruses in France is likely due to divergent viral populations maintained in the wild and then introduced to experimental facilities or farms, as well as via trade between farms across the European continent. It is now urgent to improve the identification tools for this large group of viruses to prevent their unchecked dissemination.","
      
        
          Keywords:
        
      
      Perhabdovirus; Rhabdoviridae; complete genome; fish; nucleoprotein; percid; phylogenetic analysis; virus detection.
    ","
  
    
    
    
    
      
  Revisiting the Classification of Percid Perhabdoviruses Using New Full-Length Genomes


    
  
",https://pubmed.ncbi.nlm.nih.gov/32560066/
"Nickel nanoparticles (Ni-NPs) have been widely used in various industries related to electronics, ceramics, textiles, and nanomedicine. Ambient and occupational exposure to Ni-NPs may bring about potential detrimental effects on animals and humans. Thus, there is a growing effort to identify compounds that can ameliorate NPs-associated pathophysiologies. The present study examined Cinnamomum cassia (C. cassia) bark extracts (CMBE) for its ameliorative activity against Ni-NPs-induced pathophysiological and histopathological alterations in male Sprague Dawley rats. The biochemical analyses revealed that dosing rats with Ni-NPs at 10 mg/kg/body weight (b.w.) significantly altered the normal structural and biochemical adaptations in the liver and kidney. Conversely, supplementations with CMBE at different doses (225, 200, and 175 mg/kg/b.w. of rat) ameliorated the altered blood biochemistry and reduced the biomarkers of liver and kidney function considerably (p < 0.05) in a dose-dependent manner. However, the best results were at 225 mg/kg/b.w. of rat. The study provided preliminary information about the protective effect of C. cassia against Ni-NPs indicated liver and kidney damages. Future investigations are needed to explore C. cassia mechanism of action and isolation of single constituents of C. cassia to assess their pharmaceutical importance accordingly.","
      
        
          Keywords:
        
      
      Nickel nanoparticles; Sprague Dawley rats; histology; liver and kidney profile; oxidative stress; toxicity.
    ","
  
    
    
    
    
      
  Cinnamomum cassia ameliorates Ni-NPs-induced liver and kidney damage in male Sprague Dawley rats


    
  
",https://pubmed.ncbi.nlm.nih.gov/32573270/
